Cho,Dianne,92,90,91
Anderson,Manuel,89,92,94
Thompson,Yani,63,74,59
Ortiz,Graciela,81,76,79
Wilson,Danielle,100,89,94
Smith,Steven,75,60,63
Johnson,Angelo,91,71,61
Williams,Megan,53,0,61
Brown,Johanna,65,69,77
Jones,John,87,86,58
Garcia,Alicia,64,90,68
Miller,Ronald,62,43,57
Davis,Brian,99,72,96
Rodriguez,Luis,95,62,97
Martinez,Philip,66,69,94
Hernandez,Lakeesha,78,59,64
Lopez,Ellen,63,62,99
Gonzalez,Lillie,62,91,59
Wilson,Rolando,0,54,58
Anderson,Valerie,92,93,76
Thomas,Armando,91,72,67
Taylor,Emma,95,66,79
Moore,James,64,85,74
Jackson,Jamie,74,59,93
Cho,Ramon,97,78,79
Lee,Tamara,68,68,73
Perez,Daniel,63,72,59
Thompson,Daniel,81,90,75
White,Danielle,58,68,66
Harris,Kenneth,85,71,78
Sanchez,Monica,90,76,78
Clark,Anita,84,98,71
Ramirez,Wendy,73,57,100
Lewis,George,58,77,85
RobFLson,Gloria,68,77,72
Walker,Rhonda,60,71,77
Young,Mohammed,63,84,74
Allen,April,57,60,77
Ortiz,Carrie,88,74,57
Wright,Christopher,100,69,83
Scott,Gary,57,75,70
Torres,Leroy,57,87,80
Nguyen,Marcus,100,63,57
Hill,Marjorie,91,91,76
Flores,Mark,95,95,72
Green,Jason,93,61,59
Adams,Joseph,97,89,93
Nelson,Leslie,62,73,73
Baker,Anthony,60,72,79
Hall,Esther,69,80,80
Rivera,Katrina,72,86,99
Campbell,Matthew,92,74,75
Mitchell,Nathan,98,78,67
Carter,Eduardo,84,63,77
Roberts,Paul,73,80,72
Williams,Pauline,83,66,85
Brown,David,80,82,84
